"Informazioni cronologiche","1)	Sei interessato/a al tema della mobilità elettrica?","2)	Hai la patente?","3)	Quante auto possiede la tua famiglia?","4)	Quante auto possiedi tu?","5)	Considerando il totale, quante di queste hanno classe di emissione Euro 3 (immatricolata prima del 01/01/2006)?","6)	Considerando il totale, quante di queste hanno classe di emissione Euro 4 (immatricolata prima del 01/01/2011)?","7)	Considerando il totale, quante di queste hanno classe di emissione Euro 5 (immatricolata prima del 01/01/2015)?","8)	Considerando il totale, quante di queste hanno classe di emissione Euro 6 (immatricolata dopo del 01/01/2015)?","9)	Considerando il totale, quante di queste sono alimentate solo a Benzina?","10)	Considerando il totale, quante di queste sono alimentate solo a Diesel?","11)	Considerando il totale, quante di queste sono alimentate solo a Metano o GPL?","12)	Considerando il totale, quante di queste sono Ibride/Elettriche?","13)	In una scala da 1 (molto raramente) a 5 (molto spesso), quanto spesso utilizzi l’automobile per spostarti?","14)	Quale è il principale motivo per cui usi l’automobile?","15)	Quanti Km percorri in media in un anno?","16)	In una scala da 1 (molto raramente = più di 10 anni) a 5 (molto spesso = ogni 1-2 anni), quanto spesso cambi automobile?","17)	Quanto sei disposto a pagare per un’auto nuova?","18)	Dal momento che tu possiedi un’auto Ibrida/Elettrica, è aziendale o privata?","19)	Qual è la sua autonomia in termini di km?","20)	In una scala da 1 (molto raramente) a 5 (molto spesso), quanto spesso ricarichi la batteria dell’auto?","21)	Dove ricarichi la batteria principalmente?","22)	Per quanto riguarda gli aspetti legati alla componente elettrica della tua automobile (Es: autonomia, performance, ricarica…), ti ritieni soddisfatto dell’acquisto?","23)	In una scala da 1 (per nulla importante) a 5 (molto importante), quanto è importante il fattore della SOSTENIBILITÀ AMBIENTALE nella scelta dell’auto da acquistare?","24)	In una scala da 1 (per nulla) a 5 (molto), quanto incide attualmente il PREZZO sulla scelta di acquistare un’auto elettrica/ibrida?","25)	In una scala da 1 (per nulla) a 5 (molto), quanto incide attualmente la disponibilità di PUNTI DI RICARICA pubblici per la batteria sulla scelta di acquistare un’auto elettrica/ibrida?","26)	In una scala da 1 (per nulla) a 5 (molto), quanto incide attualmente la presenza di INCENTIVI statali o regionali sulla scelta di acquistare un’auto elettrica/ibrida?","27)	In una scala da 1 (per nulla) a 5 (molto), quanto incide il RISPARMIO CHE SI HA SUL CARBURANTE sulla scelta di acquistare un’auto elettrica/ibrida?","28)	Considerando che attualmente l’autonomia media delle batterie per le auto elettriche è sui 250 Km, in una scala da 1 (per nulla) a 5 (molto), quanto è sufficiente date le tue esigenze?","29)	Attualmente il costo delle auto elettriche è in media superiore a quello delle auto tradizionali. In una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso a pagare un prezzo più alto per un’automobile nella sua versione ibrida/elettrica?","30)	Si stima che per il 2025, grazie anche al calo dei costi di produzione delle batterie, il divario di prezzo tra le auto ibride/elettriche e quelle tradizionali sarà minimo. In una scala da 1 (per nulla) a 5 (molto), quanto favorirebbe l’acquisto di un’auto elettrica?","31)	Il numero di punti di ricarica è in una fase di forte crescita, in una scala da 1 (per nulla) a 5 (molto), quanto contribuisce all’acquisto di un’auto elettrica nei prossimi anni?","32)	In quale regione vivi?","33)	In quale provincia vivi?","34)	Dove vivi?","35)	In una scala da 1 (per nulla necessario) a 5 (molto necessario), quanto ritieni necessario il trasporto pubblico per i tuoi spostamenti abituali?","36)	Disponi di pannelli fotovoltaici nella tua abitazione?","37)	In una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso ad acquistare un’auto elettrica/ibrida pur NON AVENDO pannelli fotovoltaici nella tua abitazione?","38)	In una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso ad acquistare un’auto elettrica/ibrida AVENDO pannelli fotovoltaici nella tua abitazione che consentirebbero una ricarica a costo zero?","39)	Hai un garage/parcheggio privato per l’automobile?","40)	Ipotizzando di avere un’auto elettrica/ibrida ed un garage/parcheggio privato, in una scala da 1 (per nulla propenso) a 5 (molto propenso), quanto saresti propenso ad investire nell’installazione di una colonnina di ricarica privata?","41)	Quale è il numero di componenti della tua famiglia?","42)	Quale è la tua fascia di età?","43)	Quale è il tuo genere?","44)	Quale è la tua professione?"
"2021/08/12 10:45:54 AM EET","Si","Si","3","0","0","0","1","2","1","1","0","1","5","Lavoro o Studio","Meno di 10.000 Km","3","10.000€ -  20.000€","Aziendale","Meno di 100 Km","2","Colonnina Pubblica","Si","3","4","5","4","4","3","2","4","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","1","Si","2","5","Si","4","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/12 10:54:10 AM EET","Si","Si","Più di 3","1","0","0","1","3","1","3","0","0","4","Lavoro o Studio","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","4","5","5","5","5","2","2","5","4","Toscana","Siena","Centro Città","3","No","2","4","Si","4","5","25 - 50","Maschio","Studentessa/ente"
"2021/08/12 10:55:58 AM EET","Si","Si","2","0","1","1","0","0","0","0","2","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","5","5","5","5","4","4","3","5","4","Veneto","Verona","Fuori Città (frazioni o comuni limitrofi)","2","No","4","4","Si","3","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/12 11:00:33 AM EET","Si","Si","3","1","1","0","2","0","2","1","0","0","5","Svago","Meno di 10.000 Km","1","Più di 30.000€","","","","","","5","4","5","4","5","5","5","5","5","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","5","No","4","5","Si","5","3","18 - 25","Femmina","Studentessa/ente"
"2021/08/12 11:03:15 AM EET","Si","Si","2","0","1","1","0","0","1","1","0","0","3","Spostamenti generici (Es: supermercato, ecc..)","Meno di 10.000 Km","1","10.000€ -  20.000€","","","","","","3","4","4","4","4","4","4","3","4","Abruzzo","Chieti","Centro Città","4","No","4","5","No","5","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/12 11:12:59 AM EET","No","Si","2","0","2","0","2","0","2","0","0","0","5","Lavoro o Studio","Tra 10.000 e 20.000 Km","2","Fino a 10.000€","","","","","","2","3","3","1","1","3","1","2","3","Toscana","Siena","Periferia Città","5","No","1","1","No","1","4","18 - 25","Femmina","Studentessa/ente"
"2021/08/12 11:15:56 AM EET","Si","Si","2","2","1","1","0","0","0","0","2","0","5","Spostamenti generici (Es: supermercato, ecc..)","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","5","5","5","5","5","4","3","4","4","Veneto","Verona","Fuori Città (frazioni o comuni limitrofi)","5","No","2","5","Si","4","3","25 - 50","Femmina","Impiegata/o"
"2021/08/12 11:27:34 AM EET","Si","Si","3","1","0","0","1","2","1","1","0","1","5","Lavoro o Studio","Meno di 10.000 Km","3","10.000€ -  20.000€","Aziendale","Più di 400Km","2","Colonnina Pubblica","Si","5","4","4","2","4","3","3","4","4","Umbria","Terni","Fuori Città (frazioni o comuni limitrofi)","2","Si","3","5","Si","4","4","50 - 75","Femmina","Impiegata/o"
"2021/08/12 11:36:08 AM EET","Si","Si","1","1","0","0","1","0","0","1","0","0","5","Lavoro o Studio","Tra 10.000 e 20.000 Km","1","20.000€ - 30.000€","","","","","","4","5","5","5","4","2","3","5","3","Lombardia","Mantova","Fuori Città (frazioni o comuni limitrofi)","1","No","3","5","Si","5","2","25 - 50","Maschio","Dirigente"
"2021/08/12 11:59:49 AM EET","No","Si","3","0","1","1","0","0","3","0","0","0","3","Viaggio","Tra 10.000 e 20.000 Km","1","10.000€ -  20.000€","","","","","","5","3","5","4","3","3","3","4","4","Sicilia","Catania","Fuori Città (frazioni o comuni limitrofi)","2","No","1","4","Si","4","5","18 - 25","Femmina","Studentessa/ente"
"2021/08/12 12:02:58 PM EET","Si","Si","2","1","0","0","1","0","0","0","0","0","4","Svago","Tra 10.000 e 20.000 Km","5","20.000€ - 30.000€","","","","","","3","3","4","4","3","3","4","3","3","Puglia","Lecce","Centro Città","2","No","2","2","Si","2","4","18 - 25","Femmina","Studentessa/ente"
